heupomtrek_group,lichaamslengte,schoenmaat,borstomtrek,tailleomtrek,heupomtrek,tussenbeenlengte,zijlengte,knieomtrek,kuitomtrek,enkelomtrek,mouwlengte,bicepsomtrek,elleboogomtrek,polsomtrek,halsomtrek,hoofomtrek ,voorlengte sat,rughoogte sat,rughoogte
"(87, 92]",166.5,37.833333333333336,87.5,72.33333333333333,90.5,77.5,100.66666666666667,33.833333333333336,31.833333333333332,24.5,71.66666666666667,25.0,22.0,15.5,31.166666666666668,54.0,37.666666666666664,41.0,46.0
"(92, 97]",164.16666666666666,37.94444444444444,84.66666666666667,70.88888888888889,94.83333333333333,76.375,99.11111111111111,36.77777777777778,34.55555555555556,23.833333333333332,71.5,27.055555555555557,23.555555555555557,16.0,32.111111111111114,54.611111111111114,35.44444444444444,41.72222222222222,47.111111111111114
"(97, 102]",165.0,37.92307692307692,90.96153846153847,75.76923076923077,99.65384615384616,77.18181818181819,100.03846153846153,37.30769230769231,35.80769230769231,23.96153846153846,72.88461538461539,28.0,24.615384615384617,16.23076923076923,33.03846153846154,55.46153846153846,37.42307692307692,40.96153846153846,47.07692307692308
"(102, 107]",167.8,38.75,92.75,79.05,105.1,78.6,102.3,39.45,37.611111111111114,24.9375,74.1,29.45,25.65,17.15,33.6,56.45,37.75,42.8,47.8
"(107, 112]",169.42857142857142,38.714285714285715,96.07142857142857,83.64285714285714,109.71428571428571,76.6,104.14285714285714,39.5,38.785714285714285,25.0,73.35714285714286,30.142857142857142,25.642857142857142,16.642857142857142,33.57142857142857,55.916666666666664,38.857142857142854,42.5,47.42857142857143
"(112, 117]",165.5,38.5,110.0,97.0,115.5,77.5,97.0,42.0,41.75,26.0,77.75,34.5,28.5,17.0,36.0,56.75,40.5,43.0,50.0
"(117, 122]",167.0,40.0,105.0,90.0,120.0,77.0,98.0,44.0,41.5,25.5,74.0,37.0,31.0,18.0,35.5,56.0,40.0,44.0,50.0
